compartment,gene,cohens_d,pca_n,bph_n
serum,21-5p,0.14254261211632696,22,20
serum,19b-3p,-0.1853399933173535,22,20
serum,mir-375-3p,-0.5256813320957817,22,20
tissue,21-5p,0.0012411475488172318,20,12
tissue,19b-3p,-0.6217259739435094,20,12
tissue,mir-375-3p,0.26516863397193474,20,12
blood,21-5p,0.043485713836827124,34,26
blood,19b-3p,0.23292569207989497,34,26
blood,mir-375-3p,-0.06008768449619727,34,26
urine,21-5p,0.7220395157096898,28,17
urine,19b-3p,0.6446755255186213,28,17
urine,mir-375-3p,0.06950902809878157,28,17
